Date,Sales
2018-06-26,10980
2018-06-27,11400
2018-06-28,10872
2018-06-29,11756
2018-06-30,11615
2018-07-01,11158
2018-07-02,10582
2018-07-03,11036
2018-07-04,10812
2018-07-05,11081
2018-07-06,10996
2018-07-07,11320
2018-07-08,11076
2018-07-09,10364
2018-07-10,10672
2018-07-11,11051
2018-07-12,10846
2018-07-13,10396
2018-07-14,11310
2018-07-15,11362
2018-07-16,10470
2018-07-17,10769
2018-07-18,10729
2018-07-19,10357
2018-07-20,10796
2018-07-21,11346
2018-07-22,11491
2018-07-23,10971
2018-07-24,10231
2018-07-25,10352
2018-07-26,10777
2018-07-27,10766
2018-07-28,11256
2018-07-29,12247
2018-07-30,10752
2018-07-31,10911
2018-08-01,10847
2018-08-02,10746
2018-08-03,10446
2018-08-04,11259
2018-08-05,10790
2018-08-06,10442
2018-08-07,10358
2018-08-08,10520
2018-08-09,11181
2018-08-10,9918
2018-08-11,11175
2018-08-12,10478
2018-08-13,10312
2018-08-14,10772
2018-08-15,10457
2018-08-16,10107
2018-08-17,10209
2018-08-18,11121
2018-08-19,10691
2018-08-20,10469
2018-08-21,10411
2018-08-22,10196
2018-08-23,11029
2018-08-24,10570
2018-08-25,10267
2018-08-26,10926
2018-08-27,10166
2018-08-28,10616
2018-08-29,10118
2018-08-30,10317
2018-08-31,10499
2018-09-01,11104
2018-09-02,10481
2018-09-03,10237
2018-09-04,10192
2018-09-05,10136
2018-09-06,10860
2018-09-07,10450
2018-09-08,10448
2018-09-09,11100
2018-09-10,10960
2018-09-11,10632
2018-09-12,9866
2018-09-13,10176
2018-09-14,10702
2018-09-15,10610
2018-09-16,10955
2018-09-17,10555
2018-09-18,10046
2018-09-19,10308
2018-09-20,9355
2018-09-21,10022
2018-09-22,10756
2018-09-23,10459
2018-09-24,10826
2018-09-25,9911
2018-09-26,10211
2018-09-27,10386
2018-09-28,10783
2018-09-29,10424
2018-09-30,11209
2018-10-01,10368
2018-10-02,10075
2018-10-03,10514
2018-10-04,10441
2018-10-05,10207
2018-10-06,10914
2018-10-07,10784
2018-10-08,10441
2018-10-09,10613
2018-10-10,10897
2018-10-11,10058
2018-10-12,11077
2018-10-13,10360
2018-10-14,10909
2018-10-15,10640
2018-10-16,10557
2018-10-17,10296
2018-10-18,10430
2018-10-19,10354
2018-10-20,10836
2018-10-21,11278
2018-10-22,10642
2018-10-23,10338
2018-10-24,10827
2018-10-25,10661
2018-10-26,10825
2018-10-27,11282
2018-10-28,10857
2018-10-29,10451
2018-10-30,10856
2018-10-31,10828
2018-11-01,10653
2018-11-02,10708
2018-11-03,11570
2018-11-04,11024
2018-11-05,10880
2018-11-06,10670
2018-11-07,10681
2018-11-08,11091
2018-11-09,11025
2018-11-10,11537
2018-11-11,11700
2018-11-12,10831
2018-11-13,11046
2018-11-14,10765
2018-11-15,10972
2018-11-16,10853
2018-11-17,11439
2018-11-18,11606
2018-11-19,10700
2018-11-20,11591
2018-11-21,10679
2018-11-22,10635
2018-11-23,11365
2018-11-24,11774
2018-11-25,11743
2018-11-26,11263
2018-11-27,11090
2018-11-28,10844
2018-11-29,11155
2018-11-30,10949
2018-12-01,11965
2018-12-02,11648
2018-12-03,10965
2018-12-04,11136
2018-12-05,11377
2018-12-06,11105
2018-12-07,11048
2018-12-08,11888
2018-12-09,11910
2018-12-10,11205
2018-12-11,11237
2018-12-12,11469
2018-12-13,10986
2018-12-14,11020
2018-12-15,11748
2018-12-16,11921
2018-12-17,11600
2018-12-18,11971
2018-12-19,11808
2018-12-20,11524
2018-12-21,11588
2018-12-22,11815
2018-12-23,12133
2018-12-24,11574
2018-12-25,11779
2018-12-26,11456
2018-12-27,11882
2018-12-28,12208
2018-12-29,12238
2018-12-30,12414
2018-12-31,12022
2019-01-01,11721
2019-01-02,11931
2019-01-03,11890
2019-01-04,11938
2019-01-05,12199
2019-01-06,12460
2019-01-07,12124
2019-01-08,12432
2019-01-09,12306
2019-01-10,12687
2019-01-11,11832
2019-01-12,12846
2019-01-13,12661
2019-01-14,12785
2019-01-15,11907
2019-01-16,11919
2019-01-17,12013
2019-01-18,11577
2019-01-19,12578
2019-01-20,12529
2019-01-21,12323
2019-01-22,12402
2019-01-23,12883
2019-01-24,12626
2019-01-25,12188
2019-01-26,12612
2019-01-27,13050
2019-01-28,12027
2019-01-29,12992
2019-01-30,12817
2019-01-31,12342
2019-02-01,11989
2019-02-02,13428
2019-02-03,13007
2019-02-04,12932
2019-02-05,12102
2019-02-06,12419
2019-02-07,12619
2019-02-08,12650
2019-02-09,13020
2019-02-10,13360
2019-02-11,12370
2019-02-12,12666
2019-02-13,12762
2019-02-14,12898
2019-02-15,12974
2019-02-16,12940
2019-02-17,12834
2019-02-18,13194
2019-02-19,12927
2019-02-20,12619
2019-02-21,13325
2019-02-22,12910
2019-02-23,13744
2019-02-24,13426
2019-02-25,13539
2019-02-26,13462
2019-02-27,12875
2019-02-28,13255
2019-03-01,13172
2019-03-02,13902
2019-03-03,13216
2019-03-04,13224
2019-03-05,13349
2019-03-06,12516
2019-03-07,12701
2019-03-08,12457
2019-03-09,13499
2019-03-10,13807
2019-03-11,13554
2019-03-12,13136
2019-03-13,13613
2019-03-14,12721
2019-03-15,12634
2019-03-16,13639
2019-03-17,13780
2019-03-18,13165
2019-03-19,12563
2019-03-20,13165
2019-03-21,12809
2019-03-22,13410
2019-03-23,13827
2019-03-24,13442
2019-03-25,13077
2019-03-26,12921
2019-03-27,13227
2019-03-28,13538
2019-03-29,12962
2019-03-30,13915
2019-03-31,13610
2019-04-01,13037
2019-04-02,13247
2019-04-03,12974
2019-04-04,13122
2019-04-05,12933
2019-04-06,14386
2019-04-07,13810
2019-04-08,13093
2019-04-09,13370
2019-04-10,13275
2019-04-11,13244
2019-04-12,13497
2019-04-13,14042
2019-04-14,13657
2019-04-15,13144
2019-04-16,13235
2019-04-17,12628
2019-04-18,12864
2019-04-19,13729
2019-04-20,14312
2019-04-21,13743
2019-04-22,13490
2019-04-23,13409
2019-04-24,14238
2019-04-25,13648
2019-04-26,13272
2019-04-27,13522
2019-04-28,13324
2019-04-29,13364
2019-04-30,13073
2019-05-01,12870
2019-05-02,13099
2019-05-03,12965
2019-05-04,14292
2019-05-05,14046
2019-05-06,13274
2019-05-07,13716
2019-05-08,13290
2019-05-09,13003
2019-05-10,13713
2019-05-11,13912
2019-05-12,13433
2019-05-13,13181
2019-05-14,12969
2019-05-15,12810
2019-05-16,13496
2019-05-17,13784
2019-05-18,13284
2019-05-19,13865
2019-05-20,12994
2019-05-21,13035
2019-05-22,12995
2019-05-23,12905
2019-05-24,13171
2019-05-25,13398
2019-05-26,13720
2019-05-27,13115
2019-05-28,13049
2019-05-29,12839
2019-05-30,12929
2019-05-31,13319
2019-06-01,13733
2019-06-02,13279
2019-06-03,13092
2019-06-04,13277
2019-06-05,12541
2019-06-06,13194
2019-06-07,12822
2019-06-08,13681
2019-06-09,13270
2019-06-10,12447
2019-06-11,12489
2019-06-12,12980
2019-06-13,13032
2019-06-14,12672
2019-06-15,13623
2019-06-16,12922
2019-06-17,12889
2019-06-18,12533
2019-06-19,12689
2019-06-20,12887
2019-06-21,12603
2019-06-22,13234
2019-06-23,13639
2019-06-24,12652
2019-06-25,13064
2019-06-26,12462
2019-06-27,12948
2019-06-28,13209
2019-06-29,12523
2019-06-30,13013
2019-07-01,12913
2019-07-02,12667
2019-07-03,12827
2019-07-04,12522
2019-07-05,12717
2019-07-06,13133
2019-07-07,13518
2019-07-08,12731
2019-07-09,12744
2019-07-10,12507
2019-07-11,12473
2019-07-12,12477
2019-07-13,13213
2019-07-14,12957
2019-07-15,12658
2019-07-16,13182
2019-07-17,12809
2019-07-18,12439
2019-07-19,12885
2019-07-20,12891
2019-07-21,12391
2019-07-22,12189
2019-07-23,11919
2019-07-24,12364
2019-07-25,12464
2019-07-26,12950
2019-07-27,13035
2019-07-28,12860
2019-07-29,12665
2019-07-30,11742
2019-07-31,12466
2019-08-01,12617
2019-08-02,11932
2019-08-03,13209
2019-08-04,12958
2019-08-05,12222
2019-08-06,12528
2019-08-07,13010
2019-08-08,12375
2019-08-09,12386
2019-08-10,12665
2019-08-11,12540
2019-08-12,12535
2019-08-13,12022
2019-08-14,12292
2019-08-15,12120
2019-08-16,12400
2019-08-17,12849
2019-08-18,13053
2019-08-19,12082
2019-08-20,12148
2019-08-21,11929
2019-08-22,12083
2019-08-23,12324
2019-08-24,12932
2019-08-25,12423
2019-08-26,12455
2019-08-27,12596
2019-08-28,12309
2019-08-29,12744
2019-08-30,11945
2019-08-31,12299
2019-09-01,12136
2019-09-02,12615
2019-09-03,12359
2019-09-04,12143
2019-09-05,12241
2019-09-06,11817
2019-09-07,13387
2019-09-08,12690
2019-09-09,12183
2019-09-10,12366
2019-09-11,12292
2019-09-12,12214
2019-09-13,11910
2019-09-14,12788
2019-09-15,13211
2019-09-16,12551
2019-09-17,12626
2019-09-18,11996
2019-09-19,11854
2019-09-20,12114
2019-09-21,12671
2019-09-22,12985
2019-09-23,11651
2019-09-24,12620
2019-09-25,12117
2019-09-26,12040
2019-09-27,11868
2019-09-28,12179
2019-09-29,12927
2019-09-30,12207
2019-10-01,11803
2019-10-02,11806
2019-10-03,12099
2019-10-04,12707
2019-10-05,12634
2019-10-06,12267
2019-10-07,12151
2019-10-08,12150
2019-10-09,11430
2019-10-10,12230
2019-10-11,12185
2019-10-12,12971
2019-10-13,13326
2019-10-14,12618
2019-10-15,12208
2019-10-16,11966
2019-10-17,13079
2019-10-18,12335
2019-10-19,12832
2019-10-20,12831
2019-10-21,12408
2019-10-22,12316
2019-10-23,12199
2019-10-24,12218
2019-10-25,12384
2019-10-26,12743
2019-10-27,12704
2019-10-28,12463
2019-10-29,12367
2019-10-30,12908
2019-10-31,11675
2019-11-01,12811
2019-11-02,13372
2019-11-03,12390
2019-11-04,12424
2019-11-05,12430
2019-11-06,12134
2019-11-07,12338
2019-11-08,12253
2019-11-09,13628
2019-11-10,13398
2019-11-11,13015
2019-11-12,12867
2019-11-13,12328
2019-11-14,12526
2019-11-15,12847
2019-11-16,12851
2019-11-17,13449
2019-11-18,12680
2019-11-19,12658
2019-11-20,13001
2019-11-21,12939
2019-11-22,12716
2019-11-23,13691
2019-11-24,13037
2019-11-25,13065
2019-11-26,13078
2019-11-27,12826
2019-11-28,13036
2019-11-29,12582
2019-11-30,13755
2019-12-01,13442
2019-12-02,12860
2019-12-03,13352
2019-12-04,12846
2019-12-05,12656
2019-12-06,12632
2019-12-07,13801
2019-12-08,13256
2019-12-09,13687
2019-12-10,12557
2019-12-11,13712
2019-12-12,13288
2019-12-13,13217
2019-12-14,13604
2019-12-15,13908
2019-12-16,13299
2019-12-17,13663
2019-12-18,13388
2019-12-19,13420
2019-12-20,13288
2019-12-21,13902
2019-12-22,14033
2019-12-23,12950
2019-12-24,13081
2019-12-25,13730
2019-12-26,13581
2019-12-27,13496
2019-12-28,14079
2019-12-29,14200
2019-12-30,13456
2019-12-31,13407
2020-01-01,13725
2020-01-02,13395
2020-01-03,13834
2020-01-04,13722
2020-01-05,14564
2020-01-06,13919
2020-01-07,13876
2020-01-08,14116
2020-01-09,14343
2020-01-10,14170
2020-01-11,13835
2020-01-12,14026
2020-01-13,13744
2020-01-14,13961
2020-01-15,14130
2020-01-16,13779
2020-01-17,14074
2020-01-18,14313
2020-01-19,14377
2020-01-20,13660
2020-01-21,13826
2020-01-22,13718
2020-01-23,13852
2020-01-24,14482
2020-01-25,14402
2020-01-26,15497
2020-01-27,14375
2020-01-28,14303
2020-01-29,14010
2020-01-30,14498
2020-01-31,14135
2020-02-01,14864
2020-02-02,15615
2020-02-03,14338
2020-02-04,14731
2020-02-05,14194
2020-02-06,14413
2020-02-07,14974
2020-02-08,14773
2020-02-09,15523
2020-02-10,14710
2020-02-11,14347
2020-02-12,14723
2020-02-13,14843
2020-02-14,14755
2020-02-15,14615
2020-02-16,14885
2020-02-17,14545
2020-02-18,14614
2020-02-19,14839
2020-02-20,14722
2020-02-21,14284
2020-02-22,15314
2020-02-23,15399
2020-02-24,14899
2020-02-25,15070
2020-02-26,15010
2020-02-27,14913
2020-02-28,14768
2020-02-29,14805
2020-03-01,15445
2020-03-02,14892
2020-03-03,14925
2020-03-04,14473
2020-03-05,14544
2020-03-06,15197
2020-03-07,15381
2020-03-08,15610
2020-03-09,14925
2020-03-10,14937
2020-03-11,15221
2020-03-12,14795
2020-03-13,14989
2020-03-14,15332
2020-03-15,15350
2020-03-16,14897
2020-03-17,15066
2020-03-18,14865
2020-03-19,15394
2020-03-20,14757
2020-03-21,15478
2020-03-22,15410
2020-03-23,15483
2020-03-24,15116
2020-03-25,15373
2020-03-26,14625
2020-03-27,15157
2020-03-28,15850
2020-03-29,15613
2020-03-30,15414
2020-03-31,14944
2020-04-01,15527
2020-04-02,15799
2020-04-03,15005
2020-04-04,15484
2020-04-05,16057
2020-04-06,15599
2020-04-07,14971
2020-04-08,15005
2020-04-09,15049
2020-04-10,14732
2020-04-11,15362
2020-04-12,15338
2020-04-13,14910
2020-04-14,15132
2020-04-15,15213
2020-04-16,15608
2020-04-17,14844
2020-04-18,15939
2020-04-19,15579
2020-04-20,15128
2020-04-21,15344
2020-04-22,14804
2020-04-23,15254
2020-04-24,15188
2020-04-25,15783
2020-04-26,15720
2020-04-27,15868
2020-04-28,14937
2020-04-29,14966
2020-04-30,14935
2020-05-01,14952
2020-05-02,15423
2020-05-03,15967
2020-05-04,15532
2020-05-05,14930
2020-05-06,14847
2020-05-07,15233
2020-05-08,14921
2020-05-09,15771
2020-05-10,15636
2020-05-11,14615
2020-05-12,15527
2020-05-13,15596
2020-05-14,14866
2020-05-15,14927
2020-05-16,15622
2020-05-17,15629
2020-05-18,15219
2020-05-19,15617
2020-05-20,14953
2020-05-21,14758
2020-05-22,14576
2020-05-23,15262
2020-05-24,15463
2020-05-25,15502
2020-05-26,14799
2020-05-27,15013
2020-05-28,14931
2020-05-29,15283
2020-05-30,16175
2020-05-31,15248
2020-06-01,14751
2020-06-02,15201
2020-06-03,15082
2020-06-04,15421
2020-06-05,15031
2020-06-06,15238
2020-06-07,15512
2020-06-08,15157
2020-06-09,15059
2020-06-10,14954
2020-06-11,15111
2020-06-12,15130
2020-06-13,15683
2020-06-14,15451
2020-06-15,14695
2020-06-16,14777
2020-06-17,15084
2020-06-18,14465
2020-06-19,14809
2020-06-20,15068
2020-06-21,15183
2020-06-22,15046
2020-06-23,14708
2020-06-24,14652
2020-06-25,14218
2020-06-26,14838
2020-06-27,15295
2020-06-28,15739
2020-06-29,14485
2020-06-30,14631
2020-07-01,14628
2020-07-02,15014
2020-07-03,14500
2020-07-04,15100
2020-07-05,15187
2020-07-06,14548
2020-07-07,14346
2020-07-08,14526
2020-07-09,14778
2020-07-10,14136
2020-07-11,14972
2020-07-12,14710
2020-07-13,14767
2020-07-14,13939
2020-07-15,14217
2020-07-16,14486
2020-07-17,14831
2020-07-18,14830
2020-07-19,14672
2020-07-20,14892
2020-07-21,13882
2020-07-22,13645
2020-07-23,14426
2020-07-24,14133
2020-07-25,14466
2020-07-26,14974
2020-07-27,14324
2020-07-28,14072
2020-07-29,13846
2020-07-30,14482
2020-07-31,14405
2020-08-01,14671
2020-08-02,15245
2020-08-03,13860
2020-08-04,13714
2020-08-05,13955
2020-08-06,14140
2020-08-07,14218
2020-08-08,14564
2020-08-09,14733
2020-08-10,13744
2020-08-11,14544
2020-08-12,14079
2020-08-13,14431
2020-08-14,14191
2020-08-15,14718
2020-08-16,14745
2020-08-17,14201
2020-08-18,14253
2020-08-19,14452
2020-08-20,14106
2020-08-21,14254
2020-08-22,14509
2020-08-23,14962
2020-08-24,13822
2020-08-25,14560
2020-08-26,14003
2020-08-27,13581
2020-08-28,14044
2020-08-29,14297
2020-08-30,14750
2020-08-31,13798
2020-09-01,13857
2020-09-02,13421
2020-09-03,13849
2020-09-04,13255
2020-09-05,14005
2020-09-06,14706
2020-09-07,14212
2020-09-08,14103
2020-09-09,13684
2020-09-10,13958
2020-09-11,13971
2020-09-12,14124
2020-09-13,14923
2020-09-14,14235
2020-09-15,13906
2020-09-16,13981
2020-09-17,14037
2020-09-18,13363
2020-09-19,14403
2020-09-20,14274
2020-09-21,13681
2020-09-22,13899
2020-09-23,14526
2020-09-24,14182
2020-09-25,13822
2020-09-26,14669
2020-09-27,14921
2020-09-28,14282
2020-09-29,14028
2020-09-30,13820
2020-10-01,14229
2020-10-02,14143
2020-10-03,14799
2020-10-04,14727
2020-10-05,14358
2020-10-06,13889
2020-10-07,14452
2020-10-08,14123
2020-10-09,14694
2020-10-10,14373
2020-10-11,15108
2020-10-12,14155
2020-10-13,13909
2020-10-14,13968
2020-10-15,14027
2020-10-16,14260
2020-10-17,14799
2020-10-18,14480
2020-10-19,14155
2020-10-20,14816
2020-10-21,14703
2020-10-22,14327
2020-10-23,14219
2020-10-24,14755
2020-10-25,14915
2020-10-26,13936
2020-10-27,14179
2020-10-28,13768
2020-10-29,14402
2020-10-30,14489
2020-10-31,14664
2020-11-01,15295
2020-11-02,13969
2020-11-03,13912
2020-11-04,14433
2020-11-05,14695
2020-11-06,14901
2020-11-07,14774
2020-11-08,15251
2020-11-09,14431
2020-11-10,14407
2020-11-11,14740
2020-11-12,14687
2020-11-13,14035
2020-11-14,15468
2020-11-15,15456
2020-11-16,14372
2020-11-17,14696
2020-11-18,14743
2020-11-19,14691
2020-11-20,14466
2020-11-21,14948
2020-11-22,15160
2020-11-23,15038
2020-11-24,14869
2020-11-25,14613
2020-11-26,14975
2020-11-27,13909
2020-11-28,15627
2020-11-29,14781
2020-11-30,14714
2020-12-01,14506
2020-12-02,14474
2020-12-03,15231
2020-12-04,14763
2020-12-05,15528
2020-12-06,15430
2020-12-07,15108
2020-12-08,15009
2020-12-09,14622
2020-12-10,15327
2020-12-11,14901
2020-12-12,15104
2020-12-13,15464
2020-12-14,15564
2020-12-15,15390
2020-12-16,15052
2020-12-17,15074
2020-12-18,15104
2020-12-19,16345
2020-12-20,15859
2020-12-21,15395
2020-12-22,15597
2020-12-23,15382
2020-12-24,15254
2020-12-25,15295
2020-12-26,15855
2020-12-27,15887
2020-12-28,15639
2020-12-29,15459
2020-12-30,15685
2020-12-31,15463
2021-01-01,15520
2021-01-02,15419
2021-01-03,16316
2021-01-04,15667
2021-01-05,15885
2021-01-06,14739
2021-01-07,16256
2021-01-08,15610
2021-01-09,16506
2021-01-10,15884
2021-01-11,15901
2021-01-12,15423
2021-01-13,15574
2021-01-14,16357
2021-01-15,15747
2021-01-16,16392
2021-01-17,16609
2021-01-18,16018
2021-01-19,15936
2021-01-20,16021
2021-01-21,16654
2021-01-22,15937
2021-01-23,16535
2021-01-24,16811
2021-01-25,16348
2021-01-26,16393
2021-01-27,16249
2021-01-28,15735
2021-01-29,16588
2021-01-30,16274
2021-01-31,16729
2021-02-01,15931
2021-02-02,16158
2021-02-03,16295
2021-02-04,16312
2021-02-05,16362
2021-02-06,17238
2021-02-07,16909
2021-02-08,16218
2021-02-09,16599
2021-02-10,16685
2021-02-11,15977
2021-02-12,16543
2021-02-13,17092
2021-02-14,16809
2021-02-15,16828
2021-02-16,16388
2021-02-17,16487
2021-02-18,16414
2021-02-19,16487
2021-02-20,16670
2021-02-21,16582
2021-02-22,17008
2021-02-23,16291
2021-02-24,16263
2021-02-25,15930
2021-02-26,16399
2021-02-27,16708
2021-02-28,17612
2021-03-01,16936
2021-03-02,16440
2021-03-03,17336
2021-03-04,16968
2021-03-05,16589
2021-03-06,16449
2021-03-07,17898
2021-03-08,16306
2021-03-09,16242
2021-03-10,17054
2021-03-11,17490
2021-03-12,17184
2021-03-13,17449
2021-03-14,17469
2021-03-15,17057
2021-03-16,17038
2021-03-17,16904
2021-03-18,16861
2021-03-19,16820
2021-03-20,17121
2021-03-21,17271
2021-03-22,16356
2021-03-23,16842
2021-03-24,16583
2021-03-25,16556
2021-03-26,16948
2021-03-27,17818
2021-03-28,17682
2021-03-29,16442
2021-03-30,16622
2021-03-31,17206
2021-04-01,16635
2021-04-02,16867
2021-04-03,17604
2021-04-04,17153
2021-04-05,16979
2021-04-06,16551
2021-04-07,16774
2021-04-08,17054
2021-04-09,16483
2021-04-10,17595
2021-04-11,17460
2021-04-12,17133
2021-04-13,17037
2021-04-14,17380
2021-04-15,17009
2021-04-16,16844
2021-04-17,17510
2021-04-18,17637
2021-04-19,16988
2021-04-20,16985
2021-04-21,16762
2021-04-22,16773
2021-04-23,16550
2021-04-24,17994
2021-04-25,17094
2021-04-26,16758
2021-04-27,16748
2021-04-28,17229
2021-04-29,16870
2021-04-30,17330
2021-05-01,17250
2021-05-02,17532
2021-05-03,16694
2021-05-04,17584
2021-05-05,16580
2021-05-06,17025
2021-05-07,17117
2021-05-08,17546
2021-05-09,17361
2021-05-10,16872
2021-05-11,16919
2021-05-12,16855
2021-05-13,17182
2021-05-14,17550
2021-05-15,17213
2021-05-16,16962
2021-05-17,16840
2021-05-18,17633
2021-05-19,16610
2021-05-20,17336
2021-05-21,17339
2021-05-22,17162
2021-05-23,17490
2021-05-24,17300
2021-05-25,16689
2021-05-26,16733
2021-05-27,16610
2021-05-28,16471
2021-05-29,17071
2021-05-30,16890
2021-05-31,16757
2021-06-01,16506
2021-06-02,16797
2021-06-03,16250
2021-06-04,16806
2021-06-05,17447
2021-06-06,16588
2021-06-07,16788
2021-06-08,17033
2021-06-09,16291
2021-06-10,17145
2021-06-11,16758
2021-06-12,16909
2021-06-13,17093
2021-06-14,16766
2021-06-15,16609
2021-06-16,16737
2021-06-17,16287
2021-06-18,16603
2021-06-19,16616
2021-06-20,16995
2021-06-21,16245
2021-06-22,16284
2021-06-23,16863
2021-06-24,16808
2021-06-25,16651
2021-06-26,16628
2021-06-27,16849
2021-06-28,16796
2021-06-29,16462
2021-06-30,17103
2021-07-01,16513
2021-07-02,16441
2021-07-03,16778
2021-07-04,16899
2021-07-05,16301
2021-07-06,16547
2021-07-07,16609
2021-07-08,16074
2021-07-09,15899
2021-07-10,16235
2021-07-11,16926
2021-07-12,15931
2021-07-13,15604
2021-07-14,16355
2021-07-15,16974
2021-07-16,16213
2021-07-17,16955
2021-07-18,16716
2021-07-19,16150
2021-07-20,16444
2021-07-21,16070
2021-07-22,16226
2021-07-23,16232
2021-07-24,16424
2021-07-25,16911
2021-07-26,16050
2021-07-27,15865
2021-07-28,16242
2021-07-29,15801
2021-07-30,16069
2021-07-31,16548
2021-08-01,16866
2021-08-02,16173
2021-08-03,16013
2021-08-04,16257
2021-08-05,16419
2021-08-06,16160
2021-08-07,16487
2021-08-08,16081
2021-08-09,15647
2021-08-10,15866
2021-08-11,15767
2021-08-12,15885
2021-08-13,15950
2021-08-14,16585
2021-08-15,16397
2021-08-16,16057
2021-08-17,15923
2021-08-18,15304
2021-08-19,15608
2021-08-20,15840
2021-08-21,16014
2021-08-22,16551
2021-08-23,16325
2021-08-24,16226
2021-08-25,15791
2021-08-26,16297
2021-08-27,15889
2021-08-28,16239
2021-08-29,16152
2021-08-30,15741
2021-08-31,15711
2021-09-01,15875
2021-09-02,15869
2021-09-03,15819
2021-09-04,16446
2021-09-05,16670
2021-09-06,16095
2021-09-07,15363
2021-09-08,15040
2021-09-09,16085
2021-09-10,15394
2021-09-11,16235
2021-09-12,15951
2021-09-13,15261
2021-09-14,15964
2021-09-15,16030
2021-09-16,15629
2021-09-17,15026
2021-09-18,16140
2021-09-19,16423
2021-09-20,15363
2021-09-21,15864
2021-09-22,15807
2021-09-23,15988
2021-09-24,15852
2021-09-25,16028
2021-09-26,16682
2021-09-27,15779
2021-09-28,15823
2021-09-29,15555
2021-09-30,15707
2021-10-01,15579
2021-10-02,16298
2021-10-03,16869
2021-10-04,15449
2021-10-05,15383
2021-10-06,16315
2021-10-07,15817
2021-10-08,15686
2021-10-09,16706
2021-10-10,16220
2021-10-11,16457
2021-10-12,16121
2021-10-13,15780
2021-10-14,16582
2021-10-15,15762
2021-10-16,16676
2021-10-17,16552
2021-10-18,16363
2021-10-19,16451
2021-10-20,16002
2021-10-21,15777
2021-10-22,16152
2021-10-23,16322
2021-10-24,17141
2021-10-25,16090
2021-10-26,15951
2021-10-27,16129
2021-10-28,15682
2021-10-29,15807
